,year,home_team,month,day,attend,day_of_week,opponent,temp,skies,day_night,cap,shirt,fireworks,bobblehead,hum>average,attend_inc,attend_thousands
1283,2012,Arizona Diamondbacks,SEP,19,,Wednesday,San Diego Padres,104,Clear,Night,NO,NO,NO,NO,YES,,
1284,2012,Arizona Diamondbacks,SEP,20,,Thursday,San Diego Padres,73,Dome,Day,NO,NO,NO,NO,YES,,
1285,2012,Arizona Diamondbacks,SEP,28,,Friday,Chicago Cubs,98,Clear,Night,NO,NO,NO,NO,YES,,
1286,2012,Arizona Diamondbacks,SEP,29,,Saturday,Chicago Cubs,75,Dome,Night,NO,NO,NO,NO,NO,,
1287,2012,Arizona Diamondbacks,SEP,30,,Sunday,Chicago Cubs,73,Dome,Day,NO,YES,NO,NO,YES,,
1288,2012,Arizona Diamondbacks,OCT,1,,Monday,Colorado Rockies,99,Clear,Night,NO,NO,NO,NO,YES,,
1289,2012,Arizona Diamondbacks,OCT,2,,Tuesday,Colorado Rockies,100,Clear,Night,NO,NO,NO,NO,YES,,
1290,2012,Arizona Diamondbacks,OCT,3,,Wednesday,Colorado Rockies,74,Dome,Night,NO,NO,NO,NO,NO,,
1364,2012,Atlanta Braves,SEP,15,,Saturday,Washington Nationals,84,Cloudy,Day,NO,NO,NO,NO,YES,,
1365,2012,Atlanta Braves,SEP,16,,Sunday,Washington Nationals,79,Cloudy,Night,NO,NO,NO,NO,NO,,
1366,2012,Atlanta Braves,SEP,25,,Tuesday,Miami Marlins,79,Cloudy,Night,NO,NO,NO,NO,NO,,
1367,2012,Atlanta Braves,SEP,26,,Wednesday,Miami Marlins,82,Cloudy,Night,NO,NO,NO,NO,YES,,
1368,2012,Atlanta Braves,SEP,27,,Thursday,Miami Marlins,84,Cloudy,Night,NO,NO,NO,NO,YES,,
1369,2012,Atlanta Braves,SEP,28,,Friday,New York Mets,78,Cloudy,Night,NO,NO,YES,NO,YES,,
1370,2012,Atlanta Braves,SEP,29,,Saturday,New York Mets,75,Cloudy,Night,NO,NO,NO,NO,,,
1371,2012,Atlanta Braves,SEP,30,,Sunday,New York Mets,73,Cloudy,Day,NO,NO,NO,NO,YES,,
1445,2012,Chicago Cubs,SEP,19,,Wednesday,Cincinnati Reds,69,Cloudy,Night,NO,NO,NO,NO,YES,,
1446,2012,Chicago Cubs,SEP,20,,Thursday,Cincinnati Reds,68,Cloudy,Day,NO,NO,NO,NO,NO,,
1447,2012,Chicago Cubs,SEP,21,,Friday,St. Louis Cardinals,59,Rainy,Day,NO,YES,NO,NO,NO,,
1448,2012,Chicago Cubs,SEP,22,,Saturday,St. Louis Cardinals,50,Cloudy,Day,NO,NO,NO,NO,NO,,
1449,2012,Chicago Cubs,SEP,23,,Sunday,St. Louis Cardinals,57,Cloudy,Day,NO,NO,NO,NO,NO,,
1450,2012,Chicago Cubs,OCT,1,,Monday,Houston Astros,61,Cloudy,Night,NO,NO,NO,NO,YES,,
1451,2012,Chicago Cubs,OCT,2,,Tuesday,Houston Astros,61,Clear,Night,NO,NO,NO,NO,YES,,
1452,2012,Chicago Cubs,OCT,3,,Wednesday,Houston Astros,67,Cloudy,Day,NO,NO,NO,NO,NO,,
1526,2012,Cincinnati Reds,SEP,11,,Tuesday,Pittsburgh Pirates,77,Clear,Night,NO,NO,NO,NO,YES,,
1527,2012,Cincinnati Reds,SEP,12,,Wednesday,Pittsburgh Pirates,83,Clear,Night,NO,NO,NO,NO,,,
1528,2012,Cincinnati Reds,SEP,21,,Friday,Los Angeles Dodgers,72,Cloudy,Night,NO,NO,NO,NO,NO,,
1529,2012,Cincinnati Reds,SEP,22,,Saturday,Los Angeles Dodgers,70,Cloudy,Day,NO,NO,NO,NO,YES,,
1530,2012,Cincinnati Reds,SEP,23,,Sunday,Los Angeles Dodgers,61,Cloudy,Night,NO,NO,NO,NO,YES,,
1531,2012,Cincinnati Reds,SEP,25,,Tuesday,Milwaukee Brewers,67,Cloudy,Night,NO,NO,NO,NO,NO,,
1532,2012,Cincinnati Reds,SEP,26,,Wednesday,Milwaukee Brewers,74,Cloudy,Night,NO,NO,NO,NO,YES,,
1533,2012,Cincinnati Reds,SEP,27,,Thursday,Milwaukee Brewers,69,Cloudy,Day,NO,NO,NO,NO,YES,,
1607,2012,Colorado Rockies,SEP,12,,Wednesday,San Francisco Giants,54,Cloudy,Night,NO,NO,NO,NO,NO,,
1608,2012,Colorado Rockies,SEP,21,,Friday,Arizona Diamondbacks,75,Clear,Night,NO,NO,YES,NO,NO,,
1609,2012,Colorado Rockies,SEP,22,,Saturday,Arizona Diamondbacks,75,Cloudy,Night,NO,NO,NO,NO,YES,,
1610,2012,Colorado Rockies,SEP,23,,Sunday,Arizona Diamondbacks,82,Cloudy,Day,NO,NO,NO,NO,YES,,
1611,2012,Colorado Rockies,SEP,24,,Monday,Arizona Diamondbacks,72,Cloudy,Night,NO,NO,NO,NO,YES,,
1612,2012,Colorado Rockies,SEP,25,,Tuesday,Chicago Cubs,54,Rainy,Night,NO,NO,NO,NO,YES,,
1613,2012,Colorado Rockies,SEP,26,,Wednesday,Chicago Cubs,59,Cloudy,Night,NO,NO,NO,NO,YES,,
1614,2012,Colorado Rockies,SEP,27,,Thursday,Chicago Cubs,59,Cloudy,Day,NO,NO,NO,NO,YES,,
1688,2012,Los Angeles Dodgers,SEP,15,,Saturday,St. Louis Cardinals,95,Clear,Night,NO,NO,NO,NO,YES,,
1689,2012,Los Angeles Dodgers,SEP,16,,Sunday,St. Louis Cardinals,86,Clear,Day,NO,NO,NO,NO,NO,,
1690,2012,Los Angeles Dodgers,SEP,28,,Friday,Colorado Rockies,77,Clear,Night,NO,NO,YES,NO,YES,,
1691,2012,Los Angeles Dodgers,SEP,29,,Saturday,Colorado Rockies,84,Cloudy,Night,NO,NO,NO,NO,NO,,
1692,2012,Los Angeles Dodgers,SEP,30,,Sunday,Colorado Rockies,95,Clear,Day,NO,NO,NO,NO,YES,,
1693,2012,Los Angeles Dodgers,OCT,1,,Monday,San Francisco Giants,86,Clear,Night,NO,NO,NO,NO,YES,,
1694,2012,Los Angeles Dodgers,OCT,2,,Tuesday,San Francisco Giants,83,Clear,Night,NO,NO,NO,NO,NO,,
1695,2012,Los Angeles Dodgers,OCT,3,,Wednesday,San Francisco Giants,82,Cloudy,Night,NO,NO,NO,NO,NO,,
1769,2012,Miami Marlins,SEP,18,,Tuesday,Atlanta Braves,86,Cloudy,Night,NO,NO,NO,NO,NO,,
1770,2012,Miami Marlins,SEP,19,,Wednesday,Atlanta Braves,80,Dome,Night,NO,NO,NO,YES,YES,,
1771,2012,Miami Marlins,SEP,28,,Friday,Philadelphia Phillies,77,Dome,Night,NO,NO,NO,NO,YES,,
1772,2012,Miami Marlins,SEP,29,,Saturday,Philadelphia Phillies,76,Dome,Night,NO,YES,YES,NO,NO,,
1773,2012,Miami Marlins,SEP,30,,Sunday,Philadelphia Phillies,80,Dome,Day,NO,NO,NO,NO,YES,,
1774,2012,Miami Marlins,OCT,1,,Monday,New York Mets,74,Dome,Night,NO,NO,NO,NO,YES,,
1775,2012,Miami Marlins,OCT,2,,Tuesday,New York Mets,76,Dome,Night,NO,NO,NO,NO,NO,,
1776,2012,Miami Marlins,OCT,3,,Wednesday,New York Mets,80,Dome,Day,NO,NO,NO,NO,NO,,
1850,2012,Milwaukee Brewers,SEP,15,,Saturday,New York Mets,74,Cloudy,Night,NO,NO,NO,NO,YES,,
1851,2012,Milwaukee Brewers,SEP,16,,Sunday,New York Mets,73,Cloudy,Day,NO,NO,NO,YES,NO,,
1852,2012,Milwaukee Brewers,SEP,28,,Friday,Houston Astros,67,Dome,Night,NO,NO,NO,NO,YES,,
1853,2012,Milwaukee Brewers,SEP,29,,Saturday,Houston Astros,70,Dome,Night,NO,NO,NO,NO,NO,,
1854,2012,Milwaukee Brewers,SEP,30,,Sunday,Houston Astros,70,Dome,Day,NO,NO,NO,NO,YES,,
1855,2012,Milwaukee Brewers,OCT,1,,Monday,San Diego Padres,68,Dome,Night,NO,NO,NO,NO,YES,,
1856,2012,Milwaukee Brewers,OCT,2,,Tuesday,San Diego Padres,70,Dome,Night,NO,NO,NO,NO,NO,,
1857,2012,Milwaukee Brewers,OCT,3,,Wednesday,San Diego Padres,68,Dome,Night,NO,NO,NO,NO,NO,,
1930,2012,New York Mets,SEP,20,,Thursday,Philadelphia Phillies,66,Cloudy,Night,NO,NO,NO,NO,NO,,
1931,2012,New York Mets,SEP,21,,Friday,Miami Marlins,68,Cloudy,Night,NO,NO,NO,NO,,,
1932,2012,New York Mets,SEP,22,,Saturday,Miami Marlins,74,Cloudy,Day,NO,NO,NO,NO,NO,,
1933,2012,New York Mets,SEP,23,,Sunday,Miami Marlins,68,Cloudy,Day,NO,NO,NO,NO,NO,,
1934,2012,New York Mets,SEP,24,,Monday,Pittsburgh Pirates,64,Cloudy,Night,NO,NO,NO,NO,NO,,
1935,2012,New York Mets,SEP,25,,Tuesday,Pittsburgh Pirates,69,Cloudy,Night,NO,NO,NO,NO,NO,,
1936,2012,New York Mets,SEP,26,,Wednesday,Pittsburgh Pirates,72,Cloudy,Night,NO,NO,NO,NO,NO,,
1937,2012,New York Mets,SEP,27,,Thursday,Pittsburgh Pirates,76,Cloudy,Day,NO,NO,NO,NO,YES,,
2011,2012,Philadelphia Phillies,SEP,11,,Tuesday,Miami Marlins,73,Cloudy,Night,NO,NO,NO,NO,YES,,
2012,2012,Philadelphia Phillies,SEP,12,,Wednesday,Miami Marlins,80,Clear,Day,NO,NO,NO,NO,NO,,
2013,2012,Philadelphia Phillies,SEP,21,,Friday,Atlanta Braves,76,Cloudy,Night,NO,NO,NO,NO,NO,,
2014,2012,Philadelphia Phillies,SEP,22,,Saturday,Atlanta Braves,83,Cloudy,Day,NO,NO,NO,NO,NO,,
2015,2012,Philadelphia Phillies,SEP,23,,Sunday,Atlanta Braves,67,Clear,Day,NO,NO,NO,NO,NO,,
2016,2012,Philadelphia Phillies,SEP,25,,Tuesday,Washington Nationals,71,Cloudy,Night,NO,NO,NO,NO,NO,,
2017,2012,Philadelphia Phillies,SEP,26,,Wednesday,Washington Nationals,75,Cloudy,Night,NO,NO,NO,NO,YES,,
2018,2012,Philadelphia Phillies,SEP,27,,Thursday,Washington Nationals,75,Cloudy,Night,NO,NO,NO,NO,NO,,
2091,2012,Pittsburgh Pirates,SEP,19,,Wednesday,Milwaukee Brewers,62,Cloudy,Night,NO,NO,NO,NO,NO,,
2092,2012,Pittsburgh Pirates,SEP,20,,Thursday,Milwaukee Brewers,75,Clear,Day,NO,NO,NO,NO,YES,,
2093,2012,Pittsburgh Pirates,SEP,28,,Friday,Cincinnati Reds,62,Cloudy,Night,NO,YES,NO,NO,YES,,
2094,2012,Pittsburgh Pirates,SEP,29,,Saturday,Cincinnati Reds,63,Cloudy,Night,NO,NO,YES,NO,YES,,
2095,2012,Pittsburgh Pirates,SEP,30,,Sunday,Cincinnati Reds,55,Cloudy,Day,NO,NO,NO,NO,NO,,
2096,2012,Pittsburgh Pirates,OCT,1,,Monday,Atlanta Braves,62,Cloudy,Night,NO,NO,NO,NO,NO,,
2097,2012,Pittsburgh Pirates,OCT,2,,Tuesday,Atlanta Braves,73,Cloudy,Night,NO,NO,NO,NO,YES,,
2098,2012,Pittsburgh Pirates,OCT,3,,Wednesday,Atlanta Braves,69,Cloudy,Day,NO,NO,NO,NO,NO,,
2172,2012,San Diego Padres,SEP,15,,Saturday,Colorado Rockies,83,Clear,Night,NO,NO,NO,NO,NO,,
2173,2012,San Diego Padres,SEP,16,,Sunday,Colorado Rockies,77,Clear,Day,NO,NO,NO,NO,NO,,
2174,2012,San Diego Padres,SEP,25,,Tuesday,Los Angeles Dodgers,66,Cloudy,Night,NO,NO,NO,NO,NO,,
2175,2012,San Diego Padres,SEP,26,,Wednesday,Los Angeles Dodgers,70,Clear,Night,NO,NO,NO,NO,,,
2176,2012,San Diego Padres,SEP,27,,Thursday,Los Angeles Dodgers,67,Cloudy,Night,NO,NO,NO,NO,NO,,
2177,2012,San Diego Padres,SEP,28,,Friday,San Francisco Giants,70,Clear,Night,NO,NO,NO,NO,YES,,
2178,2012,San Diego Padres,SEP,29,,Saturday,San Francisco Giants,73,Clear,Night,NO,YES,NO,NO,YES,,
2179,2012,San Diego Padres,SEP,30,,Sunday,San Francisco Giants,76,Clear,Day,NO,NO,NO,NO,,,
2253,2012,San Francisco Giants,SEP,19,,Wednesday,Colorado Rockies,58,Clear,Night,NO,NO,NO,NO,NO,,
2254,2012,San Francisco Giants,SEP,20,,Thursday,Colorado Rockies,62,Cloudy,Day,NO,NO,NO,NO,YES,,
2255,2012,San Francisco Giants,SEP,21,,Friday,San Diego Padres,56,Cloudy,Night,NO,NO,NO,NO,NO,,
2256,2012,San Francisco Giants,SEP,22,,Saturday,San Diego Padres,63,Cloudy,Night,NO,NO,NO,NO,NO,,
2257,2012,San Francisco Giants,SEP,23,,Sunday,San Diego Padres,66,Cloudy,Day,NO,NO,NO,NO,YES,,
2258,2012,San Francisco Giants,SEP,25,,Tuesday,Arizona Diamondbacks,54,Cloudy,Night,NO,NO,NO,NO,YES,,
2259,2012,San Francisco Giants,SEP,26,,Wednesday,Arizona Diamondbacks,59,Clear,Night,NO,NO,NO,NO,YES,,
2260,2012,San Francisco Giants,SEP,27,,Thursday,Arizona Diamondbacks,66,Cloudy,Day,NO,NO,NO,NO,YES,,
2334,2012,St. Louis Cardinals,SEP,19,,Wednesday,Houston Astros,72,Cloudy,Night,NO,NO,NO,NO,YES,,
2335,2012,St. Louis Cardinals,SEP,20,,Thursday,Houston Astros,76,Cloudy,Day,NO,NO,NO,NO,YES,,
2336,2012,St. Louis Cardinals,SEP,28,,Friday,Washington Nationals,66,Cloudy,Night,NO,NO,NO,NO,NO,,
2337,2012,St. Louis Cardinals,SEP,29,,Saturday,Washington Nationals,75,Clear,Night,NO,NO,NO,NO,YES,,
2338,2012,St. Louis Cardinals,SEP,30,,Sunday,Washington Nationals,70,Cloudy,Day,NO,NO,NO,NO,YES,,
2339,2012,St. Louis Cardinals,OCT,1,,Monday,Cincinnati Reds,65,Cloudy,Night,NO,NO,NO,NO,NO,,
2340,2012,St. Louis Cardinals,OCT,2,,Tuesday,Cincinnati Reds,64,Cloudy,Night,NO,NO,NO,NO,YES,,
2341,2012,St. Louis Cardinals,OCT,3,,Wednesday,Cincinnati Reds,68,Cloudy,Night,NO,NO,NO,NO,NO,,
2413,2012,Washington Nationals,SEP,20,,Thursday,Los Angeles Dodgers,68,Clear,Night,NO,NO,NO,NO,NO,,
2414,2012,Washington Nationals,SEP,21,,Friday,Milwaukee Brewers,77,Clear,Night,NO,NO,NO,NO,YES,,
2415,2012,Washington Nationals,SEP,22,,Saturday,Milwaukee Brewers,78,Clear,Day,NO,NO,NO,NO,YES,,
2416,2012,Washington Nationals,SEP,23,,Sunday,Milwaukee Brewers,67,Cloudy,Day,NO,NO,NO,NO,YES,,
2417,2012,Washington Nationals,SEP,24,,Monday,Milwaukee Brewers,66,Cloudy,Day,NO,NO,NO,NO,YES,,
2418,2012,Washington Nationals,OCT,1,,Monday,Philadelphia Phillies,64,Cloudy,Night,NO,NO,NO,NO,YES,,
2419,2012,Washington Nationals,OCT,2,,Tuesday,Philadelphia Phillies,70,Cloudy,Night,NO,NO,NO,NO,NO,,
2420,2012,Washington Nationals,OCT,3,,Wednesday,Philadelphia Phillies,76,Cloudy,Day,NO,NO,NO,NO,,,
